-0.005234 -0.01431 -0.001803 0.999882
-0.006125 -0.01428 -0.002491 0.999876
-0.006358 -0.014282 -0.002544 0.999875
-0.006313 -0.014175 -0.002461 0.999877
-0.006674 -0.014081 -0.002948 0.999874
-0.006498 -0.014067 -0.002586 0.999877
-0.006323 -0.014063 -0.002609 0.999878
-0.00616 -0.014107 -0.0024 0.999879
-0.006431 -0.014079 -0.002635 0.999877
-0.006029 -0.014208 -0.002349 0.999878
-0.006039 -0.014253 -0.002352 0.999877
-0.005176 -0.014353 -0.001737 0.999882
-0.004062 -0.014549 -0.00088 0.999886
-0.002415 -0.014668 0.000349 0.999889
-0.002275 -0.014609 0.000346 0.999891
-0.002883 -0.014557 0.000126 0.99989
-0.004318 -0.01435 -0.001191 0.999887
-0.005499 -0.01428 -0.001992 0.999881
-0.004693 -0.014246 -0.000771 0.999887
-0.004292 -0.01443 -0.000979 0.999886
-0.004249 -0.014388 -0.001191 0.999887
-0.004499 -0.014458 -0.001216 0.999885
-0.004561 -0.01446 -0.001258 0.999884
-0.00506 -0.014414 -0.001824 0.999882
-0.006275 -0.0142 -0.002123 0.999877
-0.005873 -0.014111 -0.002207 0.999881
-0.006141 -0.01376 -0.002418 0.999884
-0.006187 -0.013972 -0.00236 0.999881
-0.006619 -0.013856 -0.002461 0.999879
-0.006611 -0.013648 -0.002382 0.999882
-0.006448 -0.013939 -0.002296 0.999879
-0.006455 -0.013993 -0.00232 0.999879
-0.006277 -0.014081 -0.002514 0.999878
-0.006506 -0.014374 -0.002713 0.999872
-0.005395 -0.014463 -0.001849 0.999879
-0.005304 -0.014501 -0.001921 0.999879
-0.004664 -0.014498 -0.001361 0.999883
-0.003542 -0.014541 -0.000619 0.999888
-0.003517 -0.014456 -0.000734 0.999889
-0.001239 -0.014643 0.002059 0.99989
-0.000243 -0.014993 0.00204 0.999886
0.00107 -0.0153 0.003384 0.999877
0.000965 -0.015347 0.002659 0.999878
-0.002037 -0.014554 0.00052 0.999892
-0.005632 -0.014203 -0.002105 0.999881
-0.006566 -0.01408 -0.002689 0.999876
-0.005591 -0.013775 -0.000933 0.999889
-0.004746 -0.013651 -0.000252 0.999896
-0.00479 -0.013764 -0.000516 0.999894
-0.005843 -0.013879 -0.001674 0.999885
