Format Version,1.23,Take Name,Take 2022-01-13 01.14.23 PM,Take Notes,,Capture Frame Rate,20.000000,Export Frame Rate,20.000000,Capture Start Time,2022-01-13 01.14.24.431 ,Capture Start Frame,387744,Total Frames in Take,1228,Total Exported Frames,1228,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211,Bebop_211
,ID,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7,D62653176FB111EC89234D9196B4AAB7
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
58,2.900000,-0.003303,-0.014625,-0.000402,0.999888,-467.873810,80.652611,2321.676514
59,2.950000,-0.003076,-0.014652,-0.000190,0.999888,-467.882080,80.693314,2321.729248
60,3.000000,-0.003537,-0.014647,-0.000505,0.999886,-467.890198,80.638298,2321.696533
61,3.050000,-0.003438,-0.014518,-0.000436,0.999889,-467.900482,80.609825,2321.679688
62,3.100000,-0.005895,-0.014014,-0.002090,0.999882,-468.008026,80.306404,2321.581055
63,3.150000,-0.006295,-0.013799,-0.002467,0.999882,-468.120026,80.105133,2321.497314
64,3.200000,-0.006850,-0.013332,-0.001697,0.999886,-468.122986,80.126129,2321.518311
65,3.250000,-0.005841,-0.013386,-0.001180,0.999893,-468.138763,80.298950,2321.579834
66,3.300000,-0.004521,-0.013729,-0.000383,0.999896,-468.132050,80.351547,2321.618164
67,3.350000,-0.005006,-0.013769,-0.000846,0.999892,-468.188477,80.245102,2321.622803
68,3.400000,-0.005907,-0.013938,-0.001684,0.999884,-468.173248,80.198578,2321.531250
69,3.450000,-0.006502,-0.014111,-0.002373,0.999876,-468.119904,80.147957,2321.456055
70,3.500000,-0.006452,-0.014158,-0.002617,0.999876,-468.055206,80.204056,2321.473877
71,3.550000,-0.005827,-0.014347,-0.002241,0.999878,-467.978241,80.336639,2321.543457
72,3.600000,-0.004573,-0.014497,-0.001305,0.999884,-467.926056,80.479980,2321.622070
73,3.650000,-0.004118,-0.014473,-0.001088,0.999886,-467.924255,80.588142,2321.655518
74,3.700000,-0.004197,-0.014539,-0.001081,0.999885,-467.927094,80.539352,2321.636230
75,3.750000,-0.004685,-0.014471,-0.001300,0.999884,-467.943359,80.486801,2321.606445
76,3.800000,-0.004886,-0.014438,-0.001609,0.999883,-467.953552,80.452484,2321.575928
77,3.850000,-0.002811,-0.014594,0.000525,0.999889,-467.843872,80.595528,2321.726074
78,3.900000,-0.000788,-0.014890,0.001464,0.999888,-467.767303,80.908882,2321.834961
79,3.950000,0.000154,-0.014987,0.002557,0.999884,-467.719452,80.958069,2321.931396
80,4.000000,0.000202,-0.015045,0.002265,0.999884,-467.705780,81.011177,2321.938965
81,4.050000,-0.000658,-0.014994,0.001558,0.999886,-467.750519,80.990547,2321.881348
82,4.100000,-0.002418,-0.014793,0.000099,0.999888,-467.818298,80.767288,2321.733398
83,4.150000,-0.004394,-0.014508,-0.001218,0.999884,-467.914062,80.503517,2321.606201
84,4.200000,-0.005908,-0.014193,-0.002345,0.999879,-468.024261,80.338753,2321.569824
85,4.250000,-0.006374,-0.014056,-0.002550,0.999878,-468.089600,80.198448,2321.507568
86,4.300000,-0.006326,-0.014070,-0.002489,0.999878,-468.126343,80.173485,2321.457031
87,4.350000,-0.006403,-0.013976,-0.002112,0.999880,-468.102936,80.135025,2321.497559
88,4.400000,-0.006488,-0.014178,-0.002484,0.999875,-468.061859,80.213623,2321.518066
